,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,disposition
4496,0.0,1.0,0.0,0.0008173995647899614,7.312354744939576e-05,0.0,0.028217821782178215,0.9999463591604042,4.3438077634011083e-05,0.9717821782178218,2
4497,0.0,0.0,0.0,0.0007842617445957738,7.487052639869873e-06,0.0,0.0693069306930693,0.999994169473957,3.234750462107209e-05,0.9306930693069307,0
4498,0.0,1.0,0.0,0.00041974572245970996,3.094648424479548e-06,0.0,0.02297029702970297,0.9999985747603006,1.6173752310536044e-05,0.977029702970297,2
4499,0.0,1.0,0.0,0.0007842617445957738,8.734894746514851e-06,0.0,0.03856435643564357,0.9999963721171288,3.280961182994455e-05,0.9614356435643564,2
4500,0.0,0.0,0.0,0.0008947211452430656,8.25572337756318e-05,0.0,0.01613861386138614,0.9999445452189687,5.4066543438077626e-05,0.9838613861386138,0
4501,1.0,0.0,1.0,0.00948846251560239,1.4574795805613354e-05,0.0,0.0032673267326732676,0.9999926146670122,4.205175600739371e-05,0.9967326732673267,2
4502,0.0,1.0,0.0,0.0005522970032364603,6.5886063230854886e-06,0.0,0.017376237623762378,0.9999981860585644,2.6802218114602584e-05,0.9826237623762376,2
4503,0.0,1.0,0.0,0.0016127072494504643,8.734894746514851e-06,0.0,0.03450495049504951,0.999995465146411,3.7892791127541586e-05,0.9654950495049505,2
4504,0.0,0.0,0.0,0.0011819155869260253,4.442317899656125e-06,0.0,0.09405940594059406,0.999998056491319,7.855822550831792e-06,0.905940594059406,0
4505,0.0,1.0,0.0,0.0012923749875733174,9.583427379033438e-06,0.0,0.12376237623762376,0.9999968903861104,5.2218114602587796e-05,0.8762376237623762,2
4506,0.0,0.0,0.0,0.0007842617445957738,2.136305686576204e-05,0.0,0.02212871287128713,0.9999694221300856,9.611829944547135e-05,0.9778712871287129,0
4507,0.0,0.0,0.0,0.0007179861042073985,9.43368632623604e-06,0.0,0.01935643564356436,0.9999975382223374,3.8817005545286504e-05,0.9806435643564356,0
4508,0.0,1.0,0.0,0.0005191591830422727,8.984463167843848e-06,0.0,0.016980198019801978,0.999995465146411,5.730129390018484e-05,0.983019801980198,2
4509,0.0,0.0,0.0,0.0006848482840132108,4.442317899656125e-06,0.0,0.017920792079207923,0.9999984451930551,5.083179297597043e-06,0.9820792079207921,0
