,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,koi_disposition
414,0,0,0,25.6,0.94,0,0.0965,-0.08,0.1,-0.0965,CONFIRMED
415,0,0,0,35.6,2.37,0,0.10099999999999999,-0.21,0.41,-0.10099999999999999,CONFIRMED
416,0,0,0,66.7,3.24,0,0.0646,-0.32,0.94,-0.0646,CONFIRMED
417,0,0,0,116.2,4.18,0,0.0489,-0.6,4.82,-0.0489,CONFIRMED
418,0,0,0,456.8,5.94,0,0.0133,-0.4,0.37,-0.0133,CONFIRMED
419,1,0,0,43.0,2.93,0,0.0877,-0.22,0.47,-0.0877,FALSE POSITIVE
420,0,0,0,46.0,3.24,0,0.081,-0.47,0.88,-0.081,CONFIRMED
421,1,0,0,17.4,37.99,0,0.223,-27.81,22.75,-0.223,FALSE POSITIVE
422,0,0,0,170.1,7.62,0,0.0364,-0.98,2.93,-0.0364,CANDIDATE
423,1,0,0,34.7,1.19,0,0.0454,-0.11,0.32,-0.0454,FALSE POSITIVE
424,0,0,0,12.6,0.9,0,0.14800000000000002,-0.07,0.06,-0.14800000000000002,CANDIDATE
425,0,0,0,36.1,2.21,0,0.10800000000000001,-0.35,0.64,-0.10800000000000001,CONFIRMED
426,1,0,1,238.6,36.87,1,0.0239,-5.04,12.63,-0.0239,FALSE POSITIVE
427,0,0,0,200.0,4.32,0,0.0289,-0.86,0.71,-0.0289,CONFIRMED
428,0,1,0,578.6,57.77,0,0.0035399999999999997,-6.12,18.29,-0.0035399999999999997,FALSE POSITIVE
429,0,0,1,1441.9,26.06,0,0.00861,-9.53,6.36,-0.00861,CANDIDATE
430,1,0,0,549.5,25.54,1,0.0218,-2.25,3.38,-0.0218,FALSE POSITIVE
431,0,0,1,179.0,5.65,0,0.0257,-0.73,0.81,-0.0257,FALSE POSITIVE
432,0,0,0,41.9,3.05,0,0.0949,-0.44,3.52,-0.0949,CONFIRMED
433,0,0,0,56.6,1.94,0,0.0307,-0.2,0.13,-0.0307,CONFIRMED
434,0,0,0,44.8,1.83,0,0.0384,-0.19,0.13,-0.0384,CONFIRMED
435,0,0,0,46.4,2.17,0,0.0449,-0.22,0.15,-0.0449,CONFIRMED
436,0,0,0,45.3,1.47,0,0.051,-0.15,0.1,-0.051,CONFIRMED
437,0,0,1,628.1,38.81,0,0.0129,-4.89,6.74,-0.0129,FALSE POSITIVE
